State,Locality ,Name,Type ,Founding Date
NH,Bridgewater,Second Social Library,Social,1811
NH,Brookfield,Social Library,Social,1811
NH,Brookfield,"Social Library Of Brookfield, Wolfeborough, and Wakefield",Social,1833
NH,Brookline,Social Library,Social,1823
NH,Canaan,Social Library,Social,1803
NH,Candia,Candia Library Society,Social,1824
NH,Centre Harbor,Social Library,Social,1829
NH,Charlestown,North Parish Library,Religious social,1818
NH,Charleston,Social Library,Social,1808
NH,Cheshire,Cheshire County Library,Social,1829
NH,Claremont,Book Club,Social,1869
NH,Colebrook & Monadnock,Colebrook & Monadnock Social Library,Social,1808
NH,Concord,Union Library Society,Social,1811
NH,Concord,Washington Library,Social,1812
NH,Contoocook,Contoocook Library,Social,1871
NH,Conway and Bartlett,Conway and Bartlett Library,Social,1802
NH,Corydon,Social Library,Social,1806
NH,Danbury,Social Library,Social,1831
NH,Deerfield,Social Library,Social,1805
NH,Dover,Dover Library,Social,1839
NH,Dover,Dover Library,Social,1850
NH,Dublin,Dublin Literary Society,Social,1824
NH,Dublin,The Union Library,Social,1835
NH,Durham,Social Library,Social,1815
NH,East Franklin,Aiken Association,Social,1868
NH,East Kingston,Union Library,Social,1828
NH,East Lebanon,East Lebanon Union Library,Social,1831
NH,East Rindge,Library Assoc.,Social,1871
NH,Eaton,Eaton Library,Social,1823
NH,Eaton,Social Library,Social,1807
NH,Effingham,First Library Society,Social,1814
NH,Effingham,Social Library,Social,1802
NH,Enfield,Social Library,Social,1803
NH,Epping,Epping Social Library,Social,1805
NH,Epsom,Social Library,Social,1801
NH,Farmington,Farmington Library,Social,1853
NH,Fisherville,Library Assoc.,Social,1865
NH,Fitzwilliam,Fitzwilliam Library Assoc.,Social,1851
NH,Fitzwilliam,Town Library,Social,1851
NH,Francestown,Social Library,Social,1805
NH,Franconia,Social Library,Social,1806
NH,Franklin,Library Assoc.,Social,1860
MA,Northampton,Northampton Library Club.,Social,1839
NH,Franklin,Social Library,Social,1831
NH,Gilford,Gilford Village Social Library,Social,1831
NH,Gilford,Universalists' Social Library,Religious social,1826
NH,Gilmanton,First Religious Library,Religious social,1825
NH,Gilmanton,Social Library of Gilmanton,Social,1801
NH,Gilmanton,Village Library,Social,1822
NH,Gilsum,Universalist Library Society,Religious social,1831
NH,Goffstown,Goffstown Union Library,Social,1827
NH,Goffstown,Social Library,Social,1803
NH,Goshen,Social Library,Social,1803
NH,Grafton,Social Library,Social,1815
NH,Grafton & Danbury,Union Library of Grafton and Danbury,Social,1811
NH,Grantham,Social Library,Social,1830
NH,Greenfield,Social Library,Social,1804
NH,Groton & Heben,Groton & Heben Social Library,Social,1808
NH,Bethlehem,Hampton Library,Social,1807
NH,Hampton,Social Library,Social,1826
NH,Hampton Falls,Social Library,Social,1812
NH,Hancock,Social Library,Social,1815
